,GameDate,GameID,HomeTeam,AwayTeam,PitcherName,PitcherThrows,PitcherTeam,BatterName,BatterSide,BatterTeam,Inning,TopBottom,InningBatterCount,AfterOutCount,PitchNo,BallCount,StrikeCount,RelSpeed,PitchType,PosX,PosY,Event,VertCut,HorzCut,ZoneNum,ZoneName
0,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,神里 和毅,左,ＤｅＮＡ,1,1,1,0,1,0,0,143,シュート,35.5,55.6,見逃し,3,2,12,S4
1,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,神里 和毅,左,ＤｅＮＡ,1,1,1,0,2,0,1,141,シュート,35.5,75.6,投失,4,2,17,S7
2,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,ソト,右,ＤｅＮＡ,1,1,2,1,1,0,0,141,ストレート,74.5,71.6,見逃し,4,4,19,S9
3,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,ソト,右,ＤｅＮＡ,1,1,2,1,2,0,1,142,ストレート,91.5,86.4,ボール,5,5,25,B19
4,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,ソト,右,ＤｅＮＡ,1,1,2,1,3,1,1,121,スライダー,51.0,89.2,ボール,5,3,23,B17
5,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,ソト,右,ＤｅＮＡ,1,1,2,1,4,2,1,122,スライダー,84.5,84.8,ボール,5,5,25,B19
6,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,ソト,右,ＤｅＮＡ,1,1,2,1,5,3,1,140,シュート,46.5,84.8,空振り,5,3,23,B17
7,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,ソト,右,ＤｅＮＡ,1,1,2,1,6,3,2,122,スライダー,6.5,76.8,四球,4,1,16,B10
8,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,ロペス,右,ＤｅＮＡ,1,1,3,1,1,0,0,142,ストレート,54.0,53.2,右２,3,3,13,S5
9,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,筒香 嘉智,左,ＤｅＮＡ,1,1,4,2,1,0,0,143,ストレート,76.0,57.2,見逃し,3,4,14,S6
10,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,筒香 嘉智,左,ＤｅＮＡ,1,1,4,2,2,0,1,140,ストレート,74.0,28.8,ファウル,2,4,9,S3
11,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,筒香 嘉智,左,ＤｅＮＡ,1,1,4,2,3,0,2,143,ストレート,50.0,14.4,空三振,1,3,3,B3
12,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,宮崎 敏郎,右,ＤｅＮＡ,1,1,5,3,1,0,0,123,スライダー,14.5,48.0,ボール,3,1,11,B8
13,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,宮崎 敏郎,右,ＤｅＮＡ,1,1,5,3,2,1,0,122,スライダー,26.5,47.6,見逃し,3,2,12,S4
14,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,宮崎 敏郎,右,ＤｅＮＡ,1,1,5,3,3,1,1,140,シュート,35.5,50.4,空振り,3,2,12,S4
15,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,宮崎 敏郎,右,ＤｅＮＡ,1,1,5,3,4,1,2,124,スライダー,86.0,65.2,ファウル,4,5,20,B11
16,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,宮崎 敏郎,右,ＤｅＮＡ,1,1,5,3,5,1,3,145,ストレート,76.5,32.0,二ゴロ,2,4,9,S3
17,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,上本 博紀,右,阪神,1,2,1,1,1,0,0,135,ストレート,31.0,71.6,見逃し,4,2,17,S7
18,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,上本 博紀,右,阪神,1,2,1,1,2,0,1,130,スライダー,30.5,92.8,空振り,5,2,22,B16
19,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,上本 博紀,右,阪神,1,2,1,1,3,0,2,125,スライダー,24.5,93.2,空三振,5,2,22,B16
20,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,糸原 健斗,左,阪神,1,2,2,1,1,0,0,136,ストレート,36.0,35.2,見逃し,2,2,7,S1
21,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,糸原 健斗,左,阪神,1,2,2,1,2,0,1,136,ストレート,56.0,73.2,ファウル,4,3,18,S8
22,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,糸原 健斗,左,阪神,1,2,2,1,3,0,2,137,スライダー,9.5,90.4,ボール,5,1,21,B15
23,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,糸原 健斗,左,阪神,1,2,2,1,4,1,2,140,ストレート,51.5,34.4,ファウル,2,3,8,S2
24,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,糸原 健斗,左,阪神,1,2,2,1,5,1,3,132,スライダー,31.5,69.6,左安,4,2,17,S7
25,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,糸井 嘉男,左,阪神,1,2,3,2,1,0,0,137,ストレート,71.0,24.8,右飛,2,4,9,S3
26,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,佐野 恵太,左,ＤｅＮＡ,2,1,1,1,1,0,0,121,スライダー,32.0,31.2,見逃し,2,2,7,S1
27,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,佐野 恵太,左,ＤｅＮＡ,2,1,1,1,2,0,1,142,シュート,56.5,71.6,二ゴロ,4,3,18,S8
28,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,大和,右,ＤｅＮＡ,2,1,2,2,1,0,0,140,ストレート,69.5,30.8,見逃し,2,4,9,S3
29,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,大和,右,ＤｅＮＡ,2,1,2,2,2,0,1,141,シュート,29.0,85.6,ファウル,5,2,22,B16
30,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,大和,右,ＤｅＮＡ,2,1,2,2,3,0,2,140,ストレート,74.5,37.2,ファウル,2,4,9,S3
31,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,大和,右,ＤｅＮＡ,2,1,2,2,4,0,3,143,ストレート,28.0,31.6,ファウル,2,2,7,S1
32,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,大和,右,ＤｅＮＡ,2,1,2,2,5,0,4,127,スライダー,98.5,50.0,ボール,3,5,15,B9
33,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,大和,右,ＤｅＮＡ,2,1,2,2,6,1,4,125,スライダー,91.5,54.4,空三振,3,5,15,B9
34,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,伊藤 光,右,ＤｅＮＡ,2,1,3,3,1,0,0,139,ストレート,76.0,36.4,見逃し,2,4,9,S3
35,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,伊藤 光,右,ＤｅＮＡ,2,1,3,3,2,0,1,140,シュート,55.0,86.4,ボール,5,3,23,B17
36,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,伊藤 光,右,ＤｅＮＡ,2,1,3,3,3,1,1,138,シュート,37.5,55.6,空振り,3,2,12,S4
37,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,伊藤 光,右,ＤｅＮＡ,2,1,3,3,4,1,2,127,スライダー,97.0,76.4,空三振,4,5,20,B11
38,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,大山 悠輔,右,阪神,2,2,1,1,1,0,0,117,カーブ,66.5,8.8,ボール,1,4,4,B4
39,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,大山 悠輔,右,阪神,2,2,1,1,2,1,0,120,チェンジアップ,54.5,89.2,ボール,5,3,23,B17
40,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,大山 悠輔,右,阪神,2,2,1,1,3,2,0,121,チェンジアップ,66.0,51.6,遊ゴロ,3,4,14,S6
41,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,福留 孝介,左,阪神,2,2,2,2,1,0,0,138,ストレート,15.5,17.2,空振り,1,1,1,B1
42,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,福留 孝介,左,阪神,2,2,2,2,2,0,1,129,スライダー,14.5,90.8,ボール,5,1,21,B15
43,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,福留 孝介,左,阪神,2,2,2,2,3,1,1,131,スライダー,29.0,84.8,ボール,5,2,22,B16
44,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,福留 孝介,左,阪神,2,2,2,2,4,2,1,125,チェンジアップ,75.0,12.8,空振り,1,4,4,B4
45,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,福留 孝介,左,阪神,2,2,2,2,5,2,2,0,ストレート,34.5,45.6,左飛,3,2,12,S4
46,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,中谷 将大,右,阪神,2,2,3,3,1,0,0,135,スライダー,12.0,52.4,ボール,3,1,11,B8
47,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,中谷 将大,右,阪神,2,2,3,3,2,1,0,123,チェンジアップ,70.5,45.6,空振り,3,4,14,S6
48,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,中谷 将大,右,阪神,2,2,3,3,3,1,1,121,チェンジアップ,86.5,11.6,ボール,1,5,5,B5
49,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,中谷 将大,右,阪神,2,2,3,3,4,2,1,134,スライダー,16.5,29.2,ファウル,2,1,6,B6
50,2019-04-10,2019041002,阪神,ＤｅＮＡ,濱口 遥大,左,ＤｅＮＡ,中谷 将大,右,阪神,2,2,3,3,5,2,2,136,ストレート,26.5,45.2,見三振,3,2,12,S4
51,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,濱口 遥大,左,ＤｅＮＡ,3,1,1,1,1,0,0,135,シュート,36.0,85.2,ボール,5,2,22,B16
52,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,濱口 遥大,左,ＤｅＮＡ,3,1,1,1,2,1,0,133,シュート,49.5,28.0,見逃し,2,3,8,S2
53,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,濱口 遥大,左,ＤｅＮＡ,3,1,1,1,3,1,1,138,ストレート,51.5,47.2,ファウル,3,3,13,S5
54,2019-04-10,2019041002,阪神,ＤｅＮＡ,青柳 晃洋,右,阪神,濱口 遥大,左,ＤｅＮＡ,3,1,1,1,4,1,2,120,スライダー,6.0,75.2,ボール,4,1,16,B10
